Năm,Giờ,Ttb,thứ,Tháng,Ngày,Tmin,Tmax,Lm,Angay_hc,Angay_hc,,,Pmax_hc,Amax_hc,Ptb,Atb,Pmax,Amax,A/2,Pmax,"Train, Valid, Test",,,,,,,,,,,
2017,10,23.6,5,3,9,17.3,31.0,0.01,133185,133185,,,8618,133185,3083.12,1396.47,4189.4,2094.70,2094.70,3832.8,,,,,,,,,,,,
2017,11,23.4,6,3,10,16.2,32.5,0.01,138002,138002,,,9114,138002,3054.32,1341.87,4025.6,2012.80,2012.80,3633.2,,,,,,,,,,,,
2017,10,23.7,7,3,11,18.5,33.8,0.01,132308,132308,,,8649,132308,2826.21,1362.80,4088.4,2044.20,2044.20,3389.2,,,,,,,,,,,,
2017,10,25.4,8,3,12,20.1,33.0,0.01,129277,129277,,,8525,129277,2624.93,1175.90,3527.7,1763.85,1763.85,3152.9,,,,,,,,,,,,
2017,11,24.4,2,3,13,19.0,34.2,0.01,121471,121471,,,8104,121471,2351.65,1111.03,3333.1,1666.55,1666.55,3047.7,,,,,,,,,,,,
2017,10,25.1,3,3,14,21.1,35.0,2,113393,113393,,,8103,113393,2113.95,1063.67,3191.0,1595.50,1595.50,3029.0,,,,,,,,,,,,
2017,11,24.0,4,3,15,17.8,33.0,0.01,111663,111663,,,7670,111663,2092.29,935.27,2805.8,1402.90,1402.90,3007.0,,,,,,,,,,,,
2017,10,24.6,5,3,16,19.3,32.0,7,115040,115040,,,6696,115040,2118.64,968.97,2906.9,1453.45,1453.45,2982.7,,,,,,,,,,,,
2017,17,25.7,6,3,17,21.1,32.5,0.01,91681,91681,,,7823,91681,1866.51,1000.53,3001.6,1500.80,1500.80,2920.0,,,,,,,,,,,,
2017,11,25.9,7,3,18,20.8,32.5,0.01,126847,126847,,,8109,126847,2314.13,1079.90,3239.7,1619.85,1619.85,2868.5,,,,,,,,,,,,
2017,10,24.2,8,3,19,19.6,33.0,24,102747,102747,,,7664,102747,2076.03,1027.00,3081.0,1540.50,1540.50,2816.5,,,,,,,,,,,,
2017,11,23.8,2,3,20,20.1,32.4,42,94083,94083,,,6084,94083,1945.71,894.73,2684.2,1342.10,1342.10,2739.4,,,,,,,,,,,,
2017,17,24.6,3,3,21,20.1,31.4,0.01,97083,97083,,,5806,97083,1962.08,864.43,2593.3,1296.65,1296.65,2786.3,,,,,,,,,,,,
2017,11,25.4,4,3,22,20.0,32.0,0.01,98887,98887,,,5986,98887,2035.47,914.77,2744.3,1372.15,1372.15,2694.6,,,,,,,,,,,,
2017,11,25.1,5,3,23,20.5,33.0,0.01,93554,93554,,,6705,93554,2042.00,993.27,2979.8,1489.90,1489.90,2564.6,,,,,,,,,,,,
2017,10,25.6,6,3,24,19.4,33.7,0.01,91438,91438,,,6181,91438,1993.39,898.53,2695.6,1347.80,1347.80,2364.7,,,,,,,,,,,,
2017,10,24.3,7,3,25,20.1,34.3,82,86418,86418,,,6355,86418,1833.71,972.80,2918.4,1459.20,1459.20,2198.8,,,,,,,,,,,,
2017,11,24.7,8,3,26,19.9,31.2,1,83195,83195,,,5053,83195,1502.13,711.67,2135.0,1067.50,1067.50,1942.0,,,,,,,,,,,,
2017,10,24.7,2,3,27,20.2,29.7,0.01,80196,80196,,,4992,80196,1429.55,698.03,2094.1,1047.05,1047.05,1783.5,,,,,,,,,,,,
2017,11,24.0,3,3,28,18.1,30.7,0.01,75114,75114,,,4924,75114,1437.55,660.07,1980.2,990.10,990.10,1624.6,,,,,,,,,,,,
2017,11,23.2,4,3,29,19.1,31.0,27,75568,75568,,,4819,75568,1323.15,622.07,1866.2,933.10,933.10,1480.7,,,,,,,,,,,,
2017,11,23.8,5,3,30,21.2,31.0,7,66879,66879,,,4884,66879,1107.44,544.83,1634.5,817.25,817.25,1424.9,,,,,,,,,,,,
2017,11,24.4,6,3,31,21.8,32.8,4,58134,58134,,,4410,58134,976.85,447.57,1342.7,671.35,671.35,2347.5,,,,,,,,,,,,
2017,17,23.4,7,4,1,21.3,29.0,10,48722,48722,,,4961,48722,902.59,433.07,1299.2,649.60,649.60,2206.2,,,,,,,,,,,,
2017,18,23.9,8,4,2,21.1,29.1,0.01,49647,49647,,,3586,49647,857.49,420.27,1260.8,630.40,630.40,2100.5,,,,,,,,,,,,
2017,11,24.7,2,4,3,21.6,29.0,0.01,59934,59934,,,3577,59934,1000.85,529.07,1587.2,793.60,793.60,1980.2,,,,,,,,,,,,
2017,16,24.6,3,4,4,18.6,31.5,0.01,64724,64724,,,9669,64724,1495.97,2082.57,6247.7,3123.85,3123.85,1795.3,,,,,,,,,,,,
2017,17,24.1,4,4,5,20.3,30.3,0.01,41764,41764,,,5422,41764,444.37,212.05,636.2,318.08,318.08,677.9,,,,,,,,,,,,
2017,19,24.8,5,4,6,19.6,32.5,0.01,60239,60239,,,5151,60239,465.36,256.85,770.6,385.28,385.28,703.0,,,,,,,,,,,,
2017,19,25.4,6,4,7,20.7,32.0,0.01,66764,66764,,,4977,66764,460.75,219.73,659.2,329.60,329.60,699.1,,,,,,,,,,,,
2017,11,26.3,7,4,8,21.1,33.7,0.01,68650,68650,,,4869,68650,472.21,221.01,663.0,331.52,331.52,727.3,,,,,,,,,,,,
2017,19,25.8,8,4,9,20.6,32.2,0.01,81151,81151,,,5222,81151,463.89,220.16,660.5,330.24,330.24,747.5,,,,,,,,,,,,
